DEPMAR;NBMAR
01;2248
02;1947
03;1103
04;724
05;570
06;4419
07;1217
08;928
09;517
10;953
11;1368
12;914
13;7714
14;2552
15;420
16;1175
17;2377
18;986
19;713
21;1747
22;2000
23;331
24;1608
25;1867
26;2057
27;2246
28;1408
29;2963
2A;631
2B;651
30;2885
31;4184
32;702
33;5988
34;4349
35;3268
36;714
37;2117
38;4553
39;912
40;1439
41;1117
42;2532
43;729
44;4759
45;2215
46;635
47;1237
48;239
49;2675
50;1862
51;1849
52;528
53;1027
54;2385
55;628
56;2539
57;3695
58;606
59;9226
60;2905
61;927
62;5318
63;2094
64;2281
65;671
66;1608
67;4428
68;2953
69;6715
70;753
71;1814
72;1786
73;1599
74;2938
75;9166
76;4555
77;5165
78;4676
79;1120
80;1975
81;1326
82;904
83;4341
84;2261
85;2436
86;1340
87;1129
88;1155
89;1109
90;483
91;4203
92;5391
93;5747
94;4705
95;4562
971;1187
972;1100
973;660
974;2955
976;346
